time_hours,node_id,node_label,activation
0.916667,mem::being_chased,being_chased,0.9868
0.916667,mem::being_late,being_late,0.9868
1.0,mem::childhood_home,childhood_home,0.9868
1.0,mem::school_corridor,school_corridor,0.9868
1.0,mem::falling,falling,0.9868
1.0,mem::being_chased,being_chased,0.9868
1.0,mem::being_late,being_late,0.9868
1.0,mem::teeth_loosening,teeth_loosening,0.9868
1.0,mem::cold_water,cold_water,0.9868
1.0,mem::loud_crowd,loud_crowd,0.9868
1.0,mem::grief,grief,0.9868
1.0,mem::dread,dread,0.9868
1.0,mem::familiar_face,familiar_face,0.9608
1.0,mem::flying,flying,0.9608
1.083333,mem::familiar_face,familiar_face,0.9802
1.083333,mem::flying,flying,0.9802
1.083333,mem::bright_light,bright_light,0.9802
1.083333,mem::joy,joy,0.9802
1.083333,mem::wonder,wonder,0.9802
1.083333,event::quiet_reading,quiet reading,0.9802
1.083333,event::deep_relaxation,deep relaxation,0.9802
1.083333,mem::childhood_home,childhood_home,0.9737
1.083333,mem::school_corridor,school_corridor,0.9737
1.083333,mem::falling,falling,0.9737
1.083333,mem::being_chased,being_chased,0.9737
1.083333,mem::being_late,being_late,0.9737
1.166667,mem::familiar_face,familiar_face,1.0
1.166667,mem::flying,flying,1.0
1.166667,mem::bright_light,bright_light,1.0
1.166667,mem::joy,joy,1.0
1.166667,mem::wonder,wonder,1.0
1.166667,event::quiet_reading,quiet reading,1.0
1.166667,event::deep_relaxation,deep relaxation,1.0
1.166667,mem::childhood_home,childhood_home,0.9868
1.166667,mem::school_corridor,school_corridor,0.9868
1.166667,mem::falling,falling,0.9868
1.166667,mem::being_chased,being_chased,0.9868
1.166667,mem::being_late,being_late,0.9868
1.25,mem::familiar_face,familiar_face,1.0
1.25,mem::flying,flying,1.0
1.25,mem::bright_light,bright_light,0.9909
1.25,mem::joy,joy,0.9909
1.25,mem::wonder,wonder,0.9909
1.25,event::quiet_reading,quiet reading,0.9909
1.25,event::deep_relaxation,deep relaxation,0.9909
1.25,mem::childhood_home,childhood_home,0.9778
1.25,mem::school_corridor,school_corridor,0.9778
1.25,mem::falling,falling,0.9778
1.25,mem::being_chased,being_chased,0.9778
1.25,mem::being_late,being_late,0.9778
1.333333,mem::childhood_home,childhood_home,1.0
1.333333,mem::school_corridor,school_corridor,1.0
1.333333,mem::falling,falling,0.9975
1.333333,mem::being_chased,being_chased,0.9975
1.333333,mem::being_late,being_late,0.9975
1.333333,mem::teeth_loosening,teeth_loosening,0.9975
1.333333,mem::cold_water,cold_water,0.9975
1.333333,mem::loud_crowd,loud_crowd,0.9975
1.333333,mem::grief,grief,0.9975
1.333333,mem::dread,dread,0.9975
1.333333,mem::familiar_face,familiar_face,0.9825
1.333333,mem::flying,flying,0.9825
1.416667,mem::childhood_home,childhood_home,0.9868
1.416667,mem::school_corridor,school_corridor,0.9868
1.416667,mem::falling,falling,0.9868
1.416667,mem::being_chased,being_chased,0.9868
1.416667,mem::being_late,being_late,0.9868
1.416667,mem::teeth_loosening,teeth_loosening,0.9868
1.416667,mem::cold_water,cold_water,0.9868
1.416667,mem::loud_crowd,loud_crowd,0.9868
1.416667,mem::grief,grief,0.9868
1.416667,mem::dread,dread,0.9868
1.416667,mem::familiar_face,familiar_face,0.9386
1.416667,mem::flying,flying,0.9386
1.5,mem::childhood_home,childhood_home,1.0
1.5,mem::school_corridor,school_corridor,1.0
1.5,mem::falling,falling,1.0
1.5,mem::being_chased,being_chased,1.0
1.5,mem::being_late,being_late,1.0
1.5,mem::teeth_loosening,teeth_loosening,1.0
1.5,mem::cold_water,cold_water,1.0
1.5,mem::loud_crowd,loud_crowd,1.0
1.5,mem::grief,grief,1.0
1.5,mem::dread,dread,1.0
1.5,mem::familiar_face,familiar_face,0.9934
1.5,mem::flying,flying,0.9934
1.583333,mem::childhood_home,childhood_home,1.0
1.583333,mem::school_corridor,school_corridor,1.0
1.583333,mem::falling,falling,1.0
1.583333,mem::being_chased,being_chased,1.0
1.583333,mem::being_late,being_late,1.0
1.583333,mem::teeth_loosening,teeth_loosening,1.0
1.583333,mem::cold_water,cold_water,1.0
1.583333,mem::loud_crowd,loud_crowd,1.0
1.583333,mem::grief,grief,1.0
1.583333,mem::dread,dread,1.0
1.583333,mem::familiar_face,familiar_face,0.9802
1.583333,mem::flying,flying,0.9802
1.666667,mem::familiar_face,familiar_face,0.9934
1.666667,mem::flying,flying,0.9934
1.666667,mem::bright_light,bright_light,0.9934
1.666667,mem::joy,joy,0.9934
1.666667,mem::wonder,wonder,0.9934
1.666667,event::quiet_reading,quiet reading,0.9934
1.666667,event::deep_relaxation,deep relaxation,0.9934
1.666667,mem::childhood_home,childhood_home,0.9737
1.666667,mem::school_corridor,school_corridor,0.9737
1.666667,mem::falling,falling,0.9737
1.666667,mem::being_chased,being_chased,0.9737
1.666667,mem::being_late,being_late,0.9737
1.75,mem::childhood_home,childhood_home,1.0
1.75,mem::school_corridor,school_corridor,1.0
1.75,mem::falling,falling,1.0
1.75,mem::being_chased,being_chased,1.0
1.75,mem::being_late,being_late,1.0
1.75,mem::teeth_loosening,teeth_loosening,1.0
1.75,mem::cold_water,cold_water,1.0
1.75,mem::loud_crowd,loud_crowd,1.0
1.75,mem::grief,grief,1.0
1.75,mem::dread,dread,1.0
1.75,mem::familiar_face,familiar_face,0.9544
1.75,mem::flying,flying,0.9544
1.833333,mem::childhood_home,childhood_home,1.0
1.833333,mem::school_corridor,school_corridor,1.0
1.833333,mem::falling,falling,1.0
1.833333,mem::being_chased,being_chased,1.0
1.833333,mem::being_late,being_late,1.0
1.833333,mem::teeth_loosening,teeth_loosening,1.0
1.833333,mem::cold_water,cold_water,1.0
1.833333,mem::loud_crowd,loud_crowd,1.0
1.833333,mem::grief,grief,1.0
1.833333,mem::dread,dread,1.0
1.833333,mem::familiar_face,familiar_face,0.9934
1.833333,mem::flying,flying,0.9934
1.916667,mem::familiar_face,familiar_face,0.9672
1.916667,mem::flying,flying,0.9672
1.916667,mem::bright_light,bright_light,0.9672
1.916667,mem::joy,joy,0.9672
1.916667,mem::wonder,wonder,0.9672
1.916667,event::quiet_reading,quiet reading,0.9672
1.916667,event::deep_relaxation,deep relaxation,0.9672
1.916667,mem::childhood_home,childhood_home,0.9355
1.916667,mem::school_corridor,school_corridor,0.9355
1.916667,mem::falling,falling,0.9355
1.916667,mem::being_chased,being_chased,0.9355
1.916667,mem::being_late,being_late,0.9355
2.0,mem::familiar_face,familiar_face,1.0
2.0,mem::flying,flying,1.0
2.0,mem::bright_light,bright_light,1.0
2.0,mem::joy,joy,1.0
2.0,mem::wonder,wonder,1.0
2.0,event::quiet_reading,quiet reading,1.0
2.0,event::deep_relaxation,deep relaxation,1.0
2.0,mem::childhood_home,childhood_home,0.9737
2.0,mem::school_corridor,school_corridor,0.9737
2.0,mem::falling,falling,0.9737
2.0,mem::being_chased,being_chased,0.9737
2.0,mem::being_late,being_late,0.9737
2.083333,mem::childhood_home,childhood_home,1.0
2.083333,mem::school_corridor,school_corridor,1.0
2.083333,mem::falling,falling,1.0
2.083333,mem::being_chased,being_chased,1.0
2.083333,mem::being_late,being_late,1.0
2.083333,mem::teeth_loosening,teeth_loosening,1.0
2.083333,mem::cold_water,cold_water,1.0
2.083333,mem::loud_crowd,loud_crowd,1.0
2.083333,mem::grief,grief,1.0
2.083333,mem::dread,dread,1.0
2.083333,mem::familiar_face,familiar_face,0.9934
2.083333,mem::flying,flying,0.9934
2.166667,mem::familiar_face,familiar_face,0.9868
2.166667,mem::flying,flying,0.9868
2.166667,mem::bright_light,bright_light,0.9868
2.166667,mem::joy,joy,0.9868
2.166667,mem::wonder,wonder,0.9868
2.166667,event::quiet_reading,quiet reading,0.9868
2.166667,event::deep_relaxation,deep relaxation,0.9868
2.166667,mem::childhood_home,childhood_home,0.9355
2.166667,mem::school_corridor,school_corridor,0.9355
2.166667,mem::falling,falling,0.9355
2.166667,mem::being_chased,being_chased,0.9355
2.166667,mem::being_late,being_late,0.9355
2.25,mem::childhood_home,childhood_home,0.9868
2.25,mem::school_corridor,school_corridor,0.9868
2.25,mem::falling,falling,0.9868
2.25,mem::being_chased,being_chased,0.9868
2.25,mem::being_late,being_late,0.9868
2.25,mem::teeth_loosening,teeth_loosening,0.9868
2.25,mem::cold_water,cold_water,0.9868
2.25,mem::loud_crowd,loud_crowd,0.9868
2.25,mem::grief,grief,0.9868
2.25,mem::dread,dread,0.9868
2.25,mem::familiar_face,familiar_face,0.9802
2.25,mem::flying,flying,0.9802
2.333333,mem::childhood_home,childhood_home,1.0
2.333333,mem::school_corridor,school_corridor,1.0
2.333333,mem::falling,falling,1.0
2.333333,mem::being_chased,being_chased,1.0
2.333333,mem::being_late,being_late,1.0
2.333333,mem::teeth_loosening,teeth_loosening,1.0
2.333333,mem::cold_water,cold_water,1.0
2.333333,mem::loud_crowd,loud_crowd,1.0
2.333333,mem::grief,grief,1.0
2.333333,mem::dread,dread,1.0
2.333333,mem::familiar_face,familiar_face,0.9868
2.333333,mem::flying,flying,0.9868
2.416667,mem::familiar_face,familiar_face,0.9802
2.416667,mem::flying,flying,0.9802
2.416667,mem::bright_light,bright_light,0.9802
2.416667,mem::joy,joy,0.9802
2.416667,mem::wonder,wonder,0.9802
2.416667,event::quiet_reading,quiet reading,0.9802
2.416667,event::deep_relaxation,deep relaxation,0.9802
2.416667,mem::childhood_home,childhood_home,0.9672
2.416667,mem::school_corridor,school_corridor,0.9672
2.416667,mem::falling,falling,0.9672
2.416667,mem::being_chased,being_chased,0.9672
2.416667,mem::being_late,being_late,0.9672
2.5,mem::childhood_home,childhood_home,1.0
2.5,mem::school_corridor,school_corridor,1.0
2.5,mem::falling,falling,1.0
2.5,mem::being_chased,being_chased,1.0
2.5,mem::being_late,being_late,1.0
2.5,mem::teeth_loosening,teeth_loosening,1.0
2.5,mem::cold_water,cold_water,1.0
2.5,mem::loud_crowd,loud_crowd,1.0
2.5,mem::grief,grief,1.0
2.5,mem::dread,dread,1.0
2.5,mem::familiar_face,familiar_face,0.9934
2.5,mem::flying,flying,0.9934
2.583333,mem::familiar_face,familiar_face,0.9737
2.583333,mem::flying,flying,0.9737
2.583333,mem::bright_light,bright_light,0.9737
2.583333,mem::joy,joy,0.9737
2.583333,mem::wonder,wonder,0.9737
2.583333,event::quiet_reading,quiet reading,0.9737
2.583333,event::deep_relaxation,deep relaxation,0.9737
2.583333,mem::childhood_home,childhood_home,0.9355
2.583333,mem::school_corridor,school_corridor,0.9355
2.583333,mem::falling,falling,0.9355
2.583333,mem::being_chased,being_chased,0.9355
2.583333,mem::being_late,being_late,0.9355
2.666667,mem::childhood_home,childhood_home,0.9608
2.666667,mem::school_corridor,school_corridor,0.9608
2.666667,mem::falling,falling,0.9608
2.666667,mem::being_chased,being_chased,0.9608
2.666667,mem::being_late,being_late,0.9608
2.666667,mem::teeth_loosening,teeth_loosening,0.9608
2.666667,mem::cold_water,cold_water,0.9608
2.666667,mem::loud_crowd,loud_crowd,0.9608
2.666667,mem::grief,grief,0.9608
2.666667,mem::dread,dread,0.9608
2.666667,mem::familiar_face,familiar_face,0.9544
2.666667,mem::flying,flying,0.9544
2.75,mem::familiar_face,familiar_face,0.9934
2.75,mem::flying,flying,0.9934
2.75,mem::bright_light,bright_light,0.9934
2.75,mem::joy,joy,0.9934
2.75,mem::wonder,wonder,0.9934
2.75,event::quiet_reading,quiet reading,0.9934
2.75,event::deep_relaxation,deep relaxation,0.9934
2.75,mem::childhood_home,childhood_home,0.8988
2.75,mem::school_corridor,school_corridor,0.8988
2.75,mem::falling,falling,0.8988
2.75,mem::being_chased,being_chased,0.8988
2.75,mem::being_late,being_late,0.8988
2.833333,mem::childhood_home,childhood_home,0.9672
2.833333,mem::school_corridor,school_corridor,0.9672
2.833333,mem::falling,falling,0.9672
2.833333,mem::being_chased,being_chased,0.9672
2.833333,mem::being_late,being_late,0.9672
2.833333,mem::teeth_loosening,teeth_loosening,0.9672
2.833333,mem::cold_water,cold_water,0.9672
2.833333,mem::loud_crowd,loud_crowd,0.9672
2.833333,mem::grief,grief,0.9672
2.833333,mem::dread,dread,0.9672
2.833333,mem::familiar_face,familiar_face,0.9481
2.833333,mem::flying,flying,0.9481
2.916667,mem::childhood_home,childhood_home,1.0
2.916667,mem::school_corridor,school_corridor,1.0
2.916667,mem::falling,falling,1.0
2.916667,mem::being_chased,being_chased,1.0
2.916667,mem::being_late,being_late,1.0
2.916667,mem::teeth_loosening,teeth_loosening,1.0
2.916667,mem::cold_water,cold_water,1.0
2.916667,mem::loud_crowd,loud_crowd,1.0
2.916667,mem::grief,grief,1.0
2.916667,mem::dread,dread,1.0
2.916667,mem::familiar_face,familiar_face,0.9975
2.916667,mem::flying,flying,0.9975
